ID,MatchNumber,Team1,Team2,WinningTeam,Player_of_Match
598010,,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,A Mishra
598011,,Mumbai Indians,Pune Warriors,Mumbai Indians,RG Sharma
598012,,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,RA Jadeja
598013,,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,G Gambhir
598014,,Punjab Kings,Rajasthan Royals,Rajasthan Royals,JP Faulkner
598015,,Pune Warriors,Chennai Super Kings,Pune Warriors,SPD Smith
598016,,Punjab Kings,Kolkata Knight Riders,Punjab Kings,MS Gony
598017,,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,V Kohli
598018,,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,A Mishra
598019,,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,AM Rahane
598020,,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,MEK Hussey
598021,,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,GH Vihari
598022,,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,RA Jadeja
598023,,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,R Vinay Kumar
598024,,Mumbai Indians,Delhi Capitals,Delhi Capitals,V Sehwag
598025,,Pune Warriors,Punjab Kings,Punjab Kings,DA Miller
598026,,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,MEK Hussey
598027,,Royal Challengers Bengaluru,Pune Warriors,Royal Challengers Bengaluru,CH Gayle
598028,,Punjab Kings,Delhi Capitals,Punjab Kings,DA Miller
598029,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,DR Smith
598030,,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,MS Dhoni
598031,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,JH Kallis
598032,,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,JP Faulkner
598033,,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,DR Smith
598034,,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,MEK Hussey
598035,,Delhi Capitals,Pune Warriors,Delhi Capitals,DA Warner
598036,,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,SV Samson
598037,,Mumbai Indians,Punjab Kings,Mumbai Indians,RG Sharma
598038,,Chennai Super Kings,Pune Warriors,Chennai Super Kings,MS Dhoni
598039,,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,I Sharma
598040,,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,DA Warner
598041,,Chennai Super Kings,Punjab Kings,Chennai Super Kings,SK Raina
598042,,Royal Challengers Bengaluru,Pune Warriors,Royal Challengers Bengaluru,AB de Villiers
598043,,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,YK Pathan
598044,,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,DJG Sammy
598045,,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,AC Gilchrist
598046,,Mumbai Indians,Chennai Super Kings,Mumbai Indians,MG Johnson
598047,,Pune Warriors,Rajasthan Royals,Rajasthan Royals,AM Rahane
598048,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,V Kohli
598049,,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,AM Rahane
598050,,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,SR Tendulkar
598051,,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,SK Raina
598052,,Punjab Kings,Rajasthan Royals,Rajasthan Royals,KK Cooper
598053,,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,G Gambhir
598054,,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,JD Unadkat
598055,,Pune Warriors,Mumbai Indians,Mumbai Indians,MG Johnson
598056,,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,PA Patel
598057,,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,JH Kallis
598058,,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,SR Watson
598059,,Delhi Capitals,Punjab Kings,Punjab Kings,Harmeet Singh
598060,,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,KA Pollard
598061,,Pune Warriors,Kolkata Knight Riders,Pune Warriors,MK Pandey
598062,,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,MS Dhoni
598063,,Mumbai Indians,Rajasthan Royals,Mumbai Indians,AP Tare
598064,,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,DA Miller
598065,,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,A Mishra
598066,,Punjab Kings,Mumbai Indians,Punjab Kings,Azhar Mahmood
598067,,Pune Warriors,Delhi Capitals,Pune Warriors,LJ Wright
598068,,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,V Kohli
598069,,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,PA Patel
598070,,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,MEK Hussey
598071,,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,BJ Hodge
598072,,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Harbhajan Singh
598073,,Mumbai Indians,Chennai Super Kings,Mumbai Indians,KA Pollard
729279,,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,JH Kallis
729281,,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,YS Chahal
729283,,Chennai Super Kings,Punjab Kings,Punjab Kings,GJ Maxwell
729285,,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,AM Rahane
729287,,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,PA Patel
729289,,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,JP Duminy
729291,,Rajasthan Royals,Punjab Kings,Punjab Kings,GJ Maxwell
729293,,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,SK Raina
729295,,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,GJ Maxwell
729297,,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,RA Jadeja
729299,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,CA Lynn
729301,,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,AJ Finch
729303,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,MM Sharma
729305,,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,PV Tambe
729307,,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Sandeep Sharma
729309,,Mumbai Indians,Delhi Capitals,Delhi Capitals,M Vijay
729311,,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,DR Smith
729313,,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Sandeep Sharma
729315,,Rajasthan Royals,Kolkata Knight Riders,,JP Faulkner
729317,,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,B Kumar
733971,,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,RA Jadeja
733973,,Punjab Kings,Mumbai Indians,Mumbai Indians,CJ Anderson
733975,,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,KK Nair
733977,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,AB de Villiers
733979,,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,PV Tambe
733981,,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,DR Smith
733983,,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,RG Sharma
733985,,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir
733987,,Punjab Kings,Chennai Super Kings,Punjab Kings,GJ Maxwell
733989,,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,B Kumar
733991,,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Sandeep Sharma
733993,,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,DW Steyn
733995,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,DR Smith
733997,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir
733999,,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,JP Faulkner
734001,,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,AT Rayudu
734003,,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,RA Jadeja
734005,,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Yuvraj Singh
734007,,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,WP Saha
734009,,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,RV Uthappa
734011,,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,AM Rahane
734013,,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,AB de Villiers
734015,,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,UT Yadav
734017,,Mumbai Indians,Rajasthan Royals,Mumbai Indians,MEK Hussey
734019,,Delhi Capitals,Punjab Kings,Punjab Kings,AR Patel
734021,,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,DA Warner
734023,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,RV Uthappa
734025,,Punjab Kings,Mumbai Indians,Mumbai Indians,LMP Simmons
734027,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,RV Uthappa
734029,,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,DA Warner
734031,,Mumbai Indians,Delhi Capitals,Mumbai Indians,MEK Hussey
734033,,Punjab Kings,Rajasthan Royals,Punjab Kings,SE Marsh
734035,,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,MS Dhoni
734037,,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,YK Pathan
734039,,Delhi Capitals,Punjab Kings,Punjab Kings,M Vohra
734041,,Rajasthan Royals,Mumbai Indians,Mumbai Indians,CJ Anderson
734043,,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,UT Yadav
734045,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,SK Raina
734047,,Punjab Kings,Chennai Super Kings,Punjab Kings,V Sehwag
734049,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,MK Pandey
829705,,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,M Morkel
829707,,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,A Nehra
829709,,Rajasthan Royals,Punjab Kings,Rajasthan Royals,JP Faulkner
829711,,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,BB McCullum
829713,,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,CH Gayle
829715,,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,DJ Hooda
829717,,Punjab Kings,Mumbai Indians,Punjab Kings,GJ Bailey
829719,,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,DA Warner
829721,,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,SPD Smith
829723,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,AD Russell
829725,,Punjab Kings,Delhi Capitals,Delhi Capitals,MA Agarwal
829727,,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,AM Rahane
829729,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,A Nehra
829731,,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,JP Duminy
829733,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,AD Russell
829735,,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,AM Rahane
829737,,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Harbhajan Singh
829739,,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,UT Yadav
829741,,Rajasthan Royals,Punjab Kings,Punjab Kings,SE Marsh
829743,,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,DA Warner
829745,,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,SK Raina
829747,,Delhi Capitals,Mumbai Indians,Delhi Capitals,SS Iyer
829749,,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,MA Starc
829751,,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,SL Malinga
829753,,Chennai Super Kings,Punjab Kings,Chennai Super Kings,BB McCullum
829757,,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,VR Aaron
829759,,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,TA Boult
829761,,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,PP Chawla
829763,,Royal Challengers Bengaluru,,Royal Challengers Bengaluru,Unknown
829765,,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,DJ Bravo
829767,,Punjab Kings,Delhi Capitals,Delhi Capitals,NM Coulter-Nile
829769,,Mumbai Indians,Rajasthan Royals,Mumbai Indians,AT Rayudu
829771,,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mandeep Singh
829773,,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,DA Warner
829775,,Mumbai Indians,Punjab Kings,Mumbai Indians,LMP Simmons
829777,,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,AM Rahane
829779,,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,SK Raina
829781,,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,UT Yadav
829783,,Delhi Capitals,Mumbai Indians,Mumbai Indians,Harbhajan Singh
829785,,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,CH Gayle
829787,,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,EJG Morgan
829789,,Chennai Super Kings,Mumbai Indians,Mumbai Indians,HH Pandya
829791,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,AD Russell
829793,,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,MC Henriques
829795,,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,AB de Villiers
829797,,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,RA Jadeja
829799,,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,DA Warner
829801,,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Z Khan
829803,,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,AR Patel
829805,,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,HH Pandya
829807,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,V Kohli
829809,,Punjab Kings,Chennai Super Kings,Chennai Super Kings,P Negi
829811,,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,SR Watson
829813,,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Unknown
829815,,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,MJ McClenaghan
829817,,Mumbai Indians,Chennai Super Kings,Mumbai Indians,KA Pollard
829819,,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,AB de Villiers
829821,,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,A Nehra
829823,,Mumbai Indians,Chennai Super Kings,Mumbai Indians,RG Sharma
980901,,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,AM Rahane
980903,,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,AD Russell
980905,,Punjab Kings,Gujarat Lions,Gujarat Lions,AJ Finch
980907,,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,AB de Villiers
980909,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,RG Sharma
980911,,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,AJ Finch
980913,,Punjab Kings,Delhi Capitals,Delhi Capitals,A Mishra
980915,,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir
980917,,Mumbai Indians,Gujarat Lions,Gujarat Lions,AJ Finch
980919,,Rising Pune Supergiants,Punjab Kings,Punjab Kings,M Vohra
980921,,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Q de Kock
980923,,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,DA Warner
980925,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,RV Uthappa
980927,,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,RG Sharma
980929,,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,B Kumar
980931,,Royal Challengers Bengaluru,Rising Pune Supergiants,Royal Challengers Bengaluru,AB de Villiers
980933,,Delhi Capitals,Mumbai Indians,Delhi Capitals,SV Samson
980935,,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Mustafizur Rahman
980937,,Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,V Kohli
980939,,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,SA Yadav
980941,,Mumbai Indians,Punjab Kings,Mumbai Indians,PA Patel
980943,,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,AB Dinda
980945,,Gujarat Lions,Delhi Capitals,Gujarat Lions,CH Morris
980947,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,RG Sharma
980949,,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,DR Smith
980951,,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,CR Brathwaite
980953,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,DA Warner
980955,,Punjab Kings,Gujarat Lions,Punjab Kings,AR Patel
980957,,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,RG Sharma
980959,,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,AD Russell
980961,,Gujarat Lions,Delhi Capitals,Delhi Capitals,RR Pant
980963,,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,AD Russell
980965,,Delhi Capitals,Rising Pune Supergiants,Rising Pune Supergiants,AM Rahane
980967,,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,B Kumar
980969,,Rising Pune Supergiants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,V Kohli
980971,,Punjab Kings,Delhi Capitals,Punjab Kings,MP Stoinis
980973,,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,A Nehra
980975,,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,P Kumar
980977,,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,SR Watson
980979,,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,A Zampa
980981,,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,KH Pandya
980983,,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,CH Morris
980985,,Mumbai Indians,Punjab Kings,Punjab Kings,MP Stoinis
980987,,Royal Challengers Bengaluru,Gujarat Lions,Royal Challengers Bengaluru,AB de Villiers
980989,,Rising Pune Supergiants,Kolkata Knight Riders,Rising Pune Supergiants,YK Pathan
980991,,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,HM Amla
980993,,Mumbai Indians,Delhi Capitals,Mumbai Indians,KH Pandya
980995,,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,V Kohli
980997,,Delhi Capitals,Rising Pune Supergiants,Delhi Capitals,AB Dinda
980999,,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,V Kohli
981001,,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,DR Smith
981003,,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,KK Nair
981005,,Punjab Kings,Rising Pune Supergiants,Rising Pune Supergiants,MS Dhoni
981007,,Mumbai Indians,Gujarat Lions,Gujarat Lions,SK Raina
981009,,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,YK Pathan
981011,,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,V Kohli
981013,,Gujarat Lions,Royal Challengers Bengaluru,Royal Challengers Bengaluru,AB de Villiers
981015,,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,MC Henriques
981017,,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,DA Warner
981019,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,BCJ Cutting
1082591,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Yuvraj Singh
1082592,,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,SPD Smith
1082593,,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,CA Lynn
1082594,,Rising Pune Supergiants,Punjab Kings,Punjab Kings,GJ Maxwell
1082595,,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,KM Jadhav
1082596,,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Rashid Khan
1082597,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,N Rana
1082598,,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,AR Patel
1082599,,Delhi Capitals,Rising Pune Supergiants,Delhi Capitals,SV Samson
1082600,,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,JJ Bumrah
1082601,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,SP Narine
1082602,,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,KA Pollard
1082603,,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,AJ Tye
1082604,,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,RV Uthappa
1082605,,Delhi Capitals,Punjab Kings,Delhi Capitals,CJ Anderson
1082606,,Gujarat Lions,Mumbai Indians,Mumbai Indians,N Rana
1082607,,Rising Pune Supergiants,Royal Challengers Bengaluru,Rising Pune Supergiants,BA Stokes
1082608,,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,NM Coulter-Nile
1082609,,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,B Kumar
1082610,,Royal Challengers Bengaluru,Gujarat Lions,Royal Challengers Bengaluru,CH Gayle
1082611,,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,KS Williamson
1082612,,Punjab Kings,Mumbai Indians,Mumbai Indians,JC Buttler
1082613,,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,SK Raina
1082614,,Mumbai Indians,Delhi Capitals,Mumbai Indians,MJ McClenaghan
1082615,,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,MS Dhoni
1082616,,Punjab Kings,Gujarat Lions,Punjab Kings,HM Amla
1082617,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,NM Coulter-Nile
1082618,,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,BA Stokes
1082620,,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,RV Uthappa
1082621,,Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,AJ Tye
1082622,,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir
1082623,,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Rashid Khan
1082624,,Rising Pune Supergiants,Royal Challengers Bengaluru,Rising Pune Supergiants,LH Ferguson
1082625,,Gujarat Lions,Mumbai Indians,Mumbai Indians,KH Pandya
1082626,,Delhi Capitals,Punjab Kings,Punjab Kings,Sandeep Sharma
1082627,,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,DA Warner
1082628,,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,RG Sharma
1082629,,Gujarat Lions,Rising Pune Supergiants,Rising Pune Supergiants,BA Stokes
1082630,,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Mohammed Shami
1082631,,Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants,RA Tripathi
1082632,,Gujarat Lions,Delhi Capitals,Delhi Capitals,RR Pant
1082633,,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Sandeep Sharma
1082634,,Rising Pune Supergiants,Sunrisers Hyderabad,Rising Pune Supergiants,JD Unadkat
1082635,,Mumbai Indians,Delhi Capitals,Mumbai Indians,LMP Simmons
1082636,,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,SP Narine
1082637,,Punjab Kings,Gujarat Lions,Gujarat Lions,DR Smith
1082638,,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,S Dhawan
1082639,,Punjab Kings,Kolkata Knight Riders,Punjab Kings,MM Sharma
1082640,,Gujarat Lions,Delhi Capitals,Delhi Capitals,SS Iyer
1082641,,Punjab Kings,Mumbai Indians,Punjab Kings,WP Saha
1082642,,Delhi Capitals,Rising Pune Supergiants,Delhi Capitals,KK Nair
1082643,,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Mohammed Siraj
1082644,,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,AT Rayudu
1082645,,Punjab Kings,Rising Pune Supergiants,Rising Pune Supergiants,JD Unadkat
1082646,,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,HV Patel
1082647,,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,Washington Sundar
1082648,,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,NM Coulter-Nile
1082649,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,KV Sharma
1082650,,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,KH Pandya
1136561,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,DJ Bravo
1136562,,Delhi Capitals,Punjab Kings,Punjab Kings,KL Rahul
1136563,,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,SP Narine
1136564,,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,S Dhawan
1136565,,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,SW Billings
1136566,,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,SV Samson
1136567,,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Rashid Khan
1136568,,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,UT Yadav
1136569,,Mumbai Indians,Delhi Capitals,Delhi Capitals,JJ Roy
1136570,,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,B Stanlake
1136571,,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,SV Samson
1136572,,Punjab Kings,Chennai Super Kings,Punjab Kings,CH Gayle
1136573,,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,N Rana
1136574,,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,RG Sharma
1136575,,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,N Rana
1136576,,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,CH Gayle
1136577,,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,SR Watson
1136578,,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,KL Rahul
1136579,,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,AB de Villiers
1136580,,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,AT Rayudu
1136581,,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,JC Archer
