ID,MatchNumber,BattingTeam,player_of_match,WinningTeam,Team1,Team2
548357,51,Delhi Daredevils,JH Kallis,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
548358,52,Pune Warriors,SR Watson,Rajasthan Royals,Pune Warriors,Pune Warriors
548359,53,Kings XI Punjab,Mandeep Singh,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
548360,54,Mumbai Indians,CH Gayle,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
548329,55,Deccan Chargers,DA Warner,Delhi Daredevils,Deccan Chargers,Deccan Chargers
548361,56,Rajasthan Royals,BW Hilfenhaus,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
548362,57,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
548363,58,Mumbai Indians,RG Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
548364,59,Delhi Daredevils,BW Hilfenhaus,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
548365,60,Rajasthan Royals,A Chandila,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
548366,61,Deccan Chargers,DJ Hussey,Kings XI Punjab,Deccan Chargers,Deccan Chargers
548367,62,Royal Challengers Bangalore,AT Rayudu,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
548368,63,Kolkata Knight Riders,MEK Hussey,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
548369,64,Kings XI Punjab,UT Yadav,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
548370,65,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
548371,66,Chennai Super Kings,AC Gilchrist,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
548372,67,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
548373,68,Rajasthan Royals,DW Steyn,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
548374,69,Kings XI Punjab,UT Yadav,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
548375,70,Kolkata Knight Riders,Shakib Al Hasan,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
548376,71,Deccan Chargers,DW Steyn,Deccan Chargers,Deccan Chargers,Deccan Chargers
548377,72,Rajasthan Royals,DR Smith,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
548378,Unknown,Kolkata Knight Riders,YK Pathan,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
548379,Unknown,Chennai Super Kings,MS Dhoni,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
548380,Unknown,Chennai Super Kings,M Vijay,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
548381,Unknown,Chennai Super Kings,MS Bisla,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
597998,1,Delhi Daredevils,SP Narine,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
597999,2,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
598000,3,Sunrisers Hyderabad,A Mishra,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
598001,4,Rajasthan Royals,R Dravid,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
598002,5,Mumbai Indians,KA Pollard,Mumbai Indians,Mumbai Indians,Mumbai Indians
598003,6,Pune Warriors,M Vohra,Kings XI Punjab,Pune Warriors,Pune Warriors
598004,7,Royal Challengers Bangalore,GH Vihari,Unknown,Royal Challengers Bangalore,Royal Challengers Bangalore
598005,8,Rajasthan Royals,SK Trivedi,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
598006,10,Mumbai Indians,KD Karthik,Mumbai Indians,Mumbai Indians,Mumbai Indians
598048,9,Sunrisers Hyderabad,V Kohli,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
598007,11,Kings XI Punjab,MEK Hussey,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
598008,12,Kolkata Knight Riders,CH Gayle,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
598009,13,Rajasthan Royals,AJ Finch,Pune Warriors,Rajasthan Royals,Rajasthan Royals
598010,14,Delhi Daredevils,A Mishra,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
598011,15,Mumbai Indians,RG Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
598012,16,Royal Challengers Bangalore,RA Jadeja,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
598013,17,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
598014,18,Kings XI Punjab,JP Faulkner,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
598015,19,Pune Warriors,SPD Smith,Pune Warriors,Pune Warriors,Pune Warriors
598016,20,Kings XI Punjab,MS Gony,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
598017,21,Delhi Daredevils,V Kohli,Unknown,Delhi Daredevils,Delhi Daredevils
598018,22,Sunrisers Hyderabad,A Mishra,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
598019,23,Rajasthan Royals,AM Rahane,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
598020,24,Chennai Super Kings,MEK Hussey,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
598021,25,Kings XI Punjab,GH Vihari,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab
598022,26,Kolkata Knight Riders,RA Jadeja,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
598023,27,Rajasthan Royals,R Vinay Kumar,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
598024,28,Mumbai Indians,V Sehwag,Delhi Daredevils,Mumbai Indians,Mumbai Indians
598025,29,Pune Warriors,DA Miller,Kings XI Punjab,Pune Warriors,Pune Warriors
598026,30,Rajasthan Royals,MEK Hussey,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
598027,31,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
598059,32,Delhi Daredevils,Harmeet Singh,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
598029,33,Kolkata Knight Riders,DR Smith,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
598030,34,Sunrisers Hyderabad,MS Dhoni,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
598031,35,Kings XI Punjab,JH Kallis,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
598032,36,Sunrisers Hyderabad,JP Faulkner,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
598033,37,Mumbai Indians,DR Smith,Mumbai Indians,Mumbai Indians,Mumbai Indians
598034,38,Chennai Super Kings,MEK Hussey,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
598035,39,Delhi Daredevils,DA Warner,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
598036,40,Royal Challengers Bangalore,SV Samson,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
598037,41,Mumbai Indians,RG Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
598038,42,Chennai Super Kings,MS Dhoni,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
598039,43,Mumbai Indians,I Sharma,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
598040,44,Kolkata Knight Riders,DA Warner,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
598041,45,Chennai Super Kings,SK Raina,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
598042,46,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
598043,47,Rajasthan Royals,YK Pathan,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
598044,48,Delhi Daredevils,DJG Sammy,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
598046,49,Mumbai Indians,MG Johnson,Mumbai Indians,Mumbai Indians,Mumbai Indians
598047,50,Pune Warriors,AM Rahane,Rajasthan Royals,Pune Warriors,Pune Warriors
598064,51,Royal Challengers Bangalore,DA Miller,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
598049,52,Delhi Daredevils,AM Rahane,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
598050,53,Mumbai Indians,SR Tendulkar,Mumbai Indians,Mumbai Indians,Mumbai Indians
