ID,MatchNumber,BattingTeam,player_of_match,WinningTeam,Team1,Team2
1082650,Unknown,Mumbai Indians,KH Pandya,Mumbai Indians,Mumbai Indians,Mumbai Indians
1136561,1,Mumbai Indians,DJ Bravo,Chennai Super Kings,Mumbai Indians,Mumbai Indians
1136562,2,Delhi Daredevils,KL Rahul,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
1136563,3,Royal Challengers Bangalore,SP Narine,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
1136564,4,Rajasthan Royals,S Dhawan,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
1136565,5,Kolkata Knight Riders,SW Billings,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
1136566,6,Rajasthan Royals,SV Samson,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1136567,7,Mumbai Indians,Rashid Khan,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
1136568,8,Kings XI Punjab,UT Yadav,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
1136569,9,Mumbai Indians,JJ Roy,Delhi Daredevils,Mumbai Indians,Mumbai Indians
1136570,10,Kolkata Knight Riders,B Stanlake,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
1136571,11,Rajasthan Royals,SV Samson,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1136572,12,Kings XI Punjab,CH Gayle,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1136573,13,Kolkata Knight Riders,N Rana,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1136574,14,Mumbai Indians,RG Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
1136575,15,Rajasthan Royals,N Rana,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
1136576,16,Kings XI Punjab,CH Gayle,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1136577,17,Chennai Super Kings,SR Watson,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1136578,18,Kolkata Knight Riders,KL Rahul,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
1136579,19,Delhi Daredevils,AB de Villiers,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
1136580,20,Chennai Super Kings,AT Rayudu,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1136581,21,Mumbai Indians,JC Archer,Rajasthan Royals,Mumbai Indians,Mumbai Indians
1136582,22,Kings XI Punjab,AS Rajpoot,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1136583,23,Sunrisers Hyderabad,Rashid Khan,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1136584,24,Royal Challengers Bangalore,MS Dhoni,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
1136585,25,Sunrisers Hyderabad,AS Rajpoot,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1136586,26,Delhi Daredevils,SS Iyer,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
1136587,27,Chennai Super Kings,RG Sharma,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
1136588,28,Sunrisers Hyderabad,KS Williamson,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1136589,29,Royal Challengers Bangalore,CA Lynn,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
1136590,30,Chennai Super Kings,SR Watson,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1136591,31,Royal Challengers Bangalore,TG Southee,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1136592,32,Delhi Daredevils,RR Pant,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
1136593,33,Chennai Super Kings,SP Narine,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
1136594,34,Kings XI Punjab,SA Yadav,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
1136595,35,Royal Challengers Bangalore,RA Jadeja,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
1136596,36,Delhi Daredevils,Rashid Khan,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
1136597,37,Mumbai Indians,HH Pandya,Mumbai Indians,Mumbai Indians,Mumbai Indians
1136598,38,Rajasthan Royals,Mujeeb Ur Rahman,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
1136599,39,Sunrisers Hyderabad,KS Williamson,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1136600,40,Rajasthan Royals,JC Buttler,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1136601,41,Mumbai Indians,Ishan Kishan,Mumbai Indians,Mumbai Indians,Mumbai Indians
1136602,42,Delhi Daredevils,S Dhawan,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
1136603,43,Chennai Super Kings,JC Buttler,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
1136604,44,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1136605,45,Delhi Daredevils,AB de Villiers,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
1136606,46,Sunrisers Hyderabad,AT Rayudu,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1136607,47,Mumbai Indians,JC Buttler,Rajasthan Royals,Mumbai Indians,Mumbai Indians
1136608,48,Kings XI Punjab,UT Yadav,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
1136609,49,Rajasthan Royals,Kuldeep Yadav,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
1136610,50,Mumbai Indians,JJ Bumrah,Mumbai Indians,Mumbai Indians,Mumbai Indians
1136611,51,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1136612,52,Delhi Daredevils,HV Patel,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
1136613,53,Rajasthan Royals,S Gopal,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1136614,54,Sunrisers Hyderabad,CA Lynn,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
1136615,55,Delhi Daredevils,A Mishra,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
1136616,56,Kings XI Punjab,L Ngidi,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
1136617,Unknown,Sunrisers Hyderabad,F du Plessis,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1136618,Unknown,Kolkata Knight Riders,AD Russell,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1136619,Unknown,Sunrisers Hyderabad,Rashid Khan,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1136620,Unknown,Sunrisers Hyderabad,SR Watson,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1175356,1,Royal Challengers Bangalore,Harbhajan Singh,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
1175357,2,Sunrisers Hyderabad,AD Russell,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
1175358,3,Delhi Capitals,RR Pant,Delhi Capitals,Delhi Capitals,Delhi Capitals
1175359,4,Kings XI Punjab,CH Gayle,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1175360,5,Delhi Capitals,SR Watson,Chennai Super Kings,Delhi Capitals,Delhi Capitals
1175361,6,Kolkata Knight Riders,AD Russell,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1175362,7,Mumbai Indians,JJ Bumrah,Mumbai Indians,Mumbai Indians,Mumbai Indians
1175363,8,Rajasthan Royals,Rashid Khan,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
1175364,9,Mumbai Indians,MA Agarwal,Kings XI Punjab,Mumbai Indians,Mumbai Indians
1175365,10,Kolkata Knight Riders,PP Shaw,Unknown,Kolkata Knight Riders,Kolkata Knight Riders
1175366,11,Sunrisers Hyderabad,JM Bairstow,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1175367,12,Chennai Super Kings,MS Dhoni,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1175368,13,Kings XI Punjab,SM Curran,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1175369,14,Royal Challengers Bangalore,S Gopal,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
1175370,15,Mumbai Indians,HH Pandya,Mumbai Indians,Mumbai Indians,Mumbai Indians
1175371,16,Delhi Capitals,JM Bairstow,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
1175372,17,Royal Challengers Bangalore,AD Russell,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
1178393,18,Chennai Super Kings,Harbhajan Singh,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1178394,19,Mumbai Indians,AS Joseph,Mumbai Indians,Mumbai Indians,Mumbai Indians
1178395,20,Royal Challengers Bangalore,K Rabada,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
1178396,21,Rajasthan Royals,HF Gurney,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
1178397,22,Sunrisers Hyderabad,KL Rahul,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
1178398,23,Kolkata Knight Riders,DL Chahar,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
1178399,24,Kings XI Punjab,KA Pollard,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
1178400,25,Rajasthan Royals,MS Dhoni,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
1178401,26,Kolkata Knight Riders,S Dhawan,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
1178402,27,Mumbai Indians,JC Buttler,Rajasthan Royals,Mumbai Indians,Mumbai Indians
1178403,28,Kings XI Punjab,AB de Villiers,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
1178404,29,Kolkata Knight Riders,Imran Tahir,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
1178405,30,Delhi Capitals,KMA Paul,Delhi Capitals,Delhi Capitals,Delhi Capitals
1178406,31,Royal Challengers Bangalore,SL Malinga,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
1178407,32,Kings XI Punjab,R Ashwin,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1178408,33,Chennai Super Kings,DA Warner,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
1178409,34,Mumbai Indians,HH Pandya,Mumbai Indians,Mumbai Indians,Mumbai Indians
1178410,35,Royal Challengers Bangalore,V Kohli,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1178411,36,Mumbai Indians,SPD Smith,Rajasthan Royals,Mumbai Indians,Mumbai Indians
1178412,37,Kings XI Punjab,SS Iyer,Delhi Capitals,Kings XI Punjab,Kings XI Punjab
1178413,38,Kolkata Knight Riders,KK Ahmed,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
1178414,39,Royal Challengers Bangalore,PA Patel,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1178415,40,Rajasthan Royals,RR Pant,Delhi Capitals,Rajasthan Royals,Rajasthan Royals
1178416,41,Sunrisers Hyderabad,SR Watson,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1178417,42,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1178418,43,Kolkata Knight Riders,VR Aaron,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
1178419,44,Mumbai Indians,RG Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
1178420,45,Sunrisers Hyderabad,JD Unadkat,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
1178421,46,Delhi Capitals,S Dhawan,Delhi Capitals,Delhi Capitals,Delhi Capitals
1178422,47,Kolkata Knight Riders,AD Russell,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1178423,48,Sunrisers Hyderabad,DA Warner,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1178424,49,Royal Challengers Bangalore,Unknown,Unknown,Royal Challengers Bangalore,Royal Challengers Bangalore
1178425,50,Chennai Super Kings,MS Dhoni,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1178426,51,Mumbai Indians,JJ Bumrah,Unknown,Mumbai Indians,Mumbai Indians
1178427,52,Kings XI Punjab,Shubman Gill,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
1178428,53,Rajasthan Royals,A Mishra,Delhi Capitals,Rajasthan Royals,Rajasthan Royals
1178429,54,Sunrisers Hyderabad,SO Hetmyer,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
1178430,55,Chennai Super Kings,KL Rahul,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
1178431,56,Kolkata Knight Riders,HH Pandya,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
1181764,Unknown,Chennai Super Kings,SA Yadav,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
1181766,Unknown,Sunrisers Hyderabad,RR Pant,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
1181767,Unknown,Delhi Capitals,F du Plessis,Chennai Super Kings,Delhi Capitals,Delhi Capitals
1181768,Unknown,Mumbai Indians,JJ Bumrah,Mumbai Indians,Mumbai Indians,Mumbai Indians
1216492,1,Mumbai Indians,AT Rayudu,Chennai Super Kings,Mumbai Indians,Mumbai Indians
1216493,2,Delhi Capitals,MP Stoinis,Unknown,Delhi Capitals,Delhi Capitals
1216534,3,Royal Challengers Bangalore,YS Chahal,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1216496,4,Rajasthan Royals,SV Samson,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1216508,5,Mumbai Indians,RG Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
1216510,6,Kings XI Punjab,KL Rahul,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1216539,7,Delhi Capitals,PP Shaw,Delhi Capitals,Delhi Capitals,Delhi Capitals
1216545,8,Sunrisers Hyderabad,Shubman Gill,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
1216527,9,Kings XI Punjab,SV Samson,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
1216547,10,Royal Challengers Bangalore,AB de Villiers,Unknown,Royal Challengers Bangalore,Royal Challengers Bangalore
1216532,11,Sunrisers Hyderabad,Rashid Khan,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1216504,12,Kolkata Knight Riders,Shivam Mavi,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1216503,13,Mumbai Indians,KA Pollard,Mumbai Indians,Mumbai Indians,Mumbai Indians
1216516,14,Sunrisers Hyderabad,PK Garg,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1216514,15,Rajasthan Royals,YS Chahal,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
1216515,16,Delhi Capitals,SS Iyer,Delhi Capitals,Delhi Capitals,Delhi Capitals
1216513,18,Kings XI Punjab,SR Watson,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
1216538,17,Mumbai Indians,TA Boult,Mumbai Indians,Mumbai Indians,Mumbai Indians
1216519,19,Delhi Capitals,AR Patel,Delhi Capitals,Delhi Capitals,Delhi Capitals
1216511,20,Mumbai Indians,SA Yadav,Mumbai Indians,Mumbai Indians,Mumbai Indians
1216501,21,Kolkata Knight Riders,RA Tripathi,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1216542,22,Sunrisers Hyderabad,JM Bairstow,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1216500,23,Delhi Capitals,R Ashwin,Delhi Capitals,Delhi Capitals,Delhi Capitals
1216523,24,Kolkata Knight Riders,KD Karthik,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1216525,25,Royal Challengers Bangalore,V Kohli,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1216507,26,Sunrisers Hyderabad,R Tewatia,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
1216529,27,Delhi Capitals,Q de Kock,Mumbai Indians,Delhi Capitals,Delhi Capitals
1216540,28,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1216528,29,Chennai Super Kings,RA Jadeja,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1216543,30,Delhi Capitals,A Nortje,Delhi Capitals,Delhi Capitals,Delhi Capitals
1216531,31,Royal Challengers Bangalore,KL Rahul,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
1216526,32,Kolkata Knight Riders,Q de Kock,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
1216509,34,Chennai Super Kings,S Dhawan,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
1216522,33,Rajasthan Royals,AB de Villiers,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
1216512,35,Kolkata Knight Riders,LH Ferguson,Unknown,Kolkata Knight Riders,Kolkata Knight Riders
1216517,36,Mumbai Indians,KL Rahul,Unknown,Mumbai Indians,Mumbai Indians
1216533,37,Chennai Super Kings,JC Buttler,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
1216546,38,Delhi Capitals,S Dhawan,Kings XI Punjab,Delhi Capitals,Delhi Capitals
1216494,39,Kolkata Knight Riders,Mohammed Siraj,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
1216518,40,Rajasthan Royals,MK Pandey,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
1216521,41,Chennai Super Kings,TA Boult,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
1216497,42,Kolkata Knight Riders,CV Varun,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1216498,43,Kings XI Punjab,CJ Jordan,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1216541,45,Mumbai Indians,BA Stokes,Rajasthan Royals,Mumbai Indians,Mumbai Indians
1216544,44,Royal Challengers Bangalore,RD Gaikwad,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
1216520,46,Kolkata Knight Riders,CH Gayle,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
1216524,47,Sunrisers Hyderabad,WP Saha,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1216499,48,Royal Challengers Bangalore,SA Yadav,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
1216536,49,Kolkata Knight Riders,RD Gaikwad,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
1216537,50,Kings XI Punjab,BA Stokes,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
1216502,52,Royal Challengers Bangalore,Sandeep Sharma,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
1216535,51,Delhi Capitals,Ishan Kishan,Mumbai Indians,Delhi Capitals,Delhi Capitals
1216506,53,Kings XI Punjab,RD Gaikwad,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
1216530,54,Kolkata Knight Riders,PJ Cummins,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1216505,55,Royal Challengers Bangalore,A Nortje,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
1216495,56,Mumbai Indians,S Nadeem,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
1237177,Unknown,Mumbai Indians,JJ Bumrah,Mumbai Indians,Mumbai Indians,Mumbai Indians
1237178,Unknown,Royal Challengers Bangalore,KS Williamson,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
1237180,Unknown,Delhi Capitals,MP Stoinis,Delhi Capitals,Delhi Capitals,Delhi Capitals
1237181,Unknown,Delhi Capitals,TA Boult,Mumbai Indians,Delhi Capitals,Delhi Capitals
1254058,1,Mumbai Indians,HV Patel,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
1254059,2,Chennai Super Kings,S Dhawan,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
1254060,3,Kolkata Knight Riders,N Rana,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1254061,4,Punjab Kings,SV Samson,Punjab Kings,Punjab Kings,Punjab Kings
1254062,5,Mumbai Indians,RD Chahar,Mumbai Indians,Mumbai Indians,Mumbai Indians
1254063,6,Royal Challengers Bangalore,GJ Maxwell,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1254064,7,Delhi Capitals,JD Unadkat,Rajasthan Royals,Delhi Capitals,Delhi Capitals
1254065,8,Punjab Kings,DL Chahar,Chennai Super Kings,Punjab Kings,Punjab Kings
1254066,9,Mumbai Indians,KA Pollard,Mumbai Indians,Mumbai Indians,Mumbai Indians
1254067,10,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1254068,11,Punjab Kings,S Dhawan,Delhi Capitals,Punjab Kings,Punjab Kings
1254069,12,Chennai Super Kings,MM Ali,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1254070,13,Mumbai Indians,A Mishra,Delhi Capitals,Mumbai Indians,Mumbai Indians
1254071,14,Punjab Kings,JM Bairstow,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
1254072,15,Chennai Super Kings,F du Plessis,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1254073,16,Rajasthan Royals,D Padikkal,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
1254074,17,Mumbai Indians,KL Rahul,Punjab Kings,Mumbai Indians,Mumbai Indians
1254075,18,Kolkata Knight Riders,CH Morris,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
1254076,19,Chennai Super Kings,RA Jadeja,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1254077,20,Delhi Capitals,PP Shaw,Unknown,Delhi Capitals,Delhi Capitals
1254078,21,Punjab Kings,EJG Morgan,Kolkata Knight Riders,Punjab Kings,Punjab Kings
1254079,22,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1254080,23,Sunrisers Hyderabad,RD Gaikwad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1254081,24,Rajasthan Royals,Q de Kock,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
1254082,25,Kolkata Knight Riders,PP Shaw,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
1254083,26,Punjab Kings,Harpreet Brar,Punjab Kings,Punjab Kings,Punjab Kings
1254084,27,Chennai Super Kings,KA Pollard,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
1254085,28,Rajasthan Royals,JC Buttler,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1254086,29,Punjab Kings,MA Agarwal,Delhi Capitals,Punjab Kings,Punjab Kings
1254104,30,Chennai Super Kings,RD Gaikwad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1254087,31,Royal Challengers Bangalore,CV Varun,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
1254111,32,Rajasthan Royals,Kartik Tyagi,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1254105,33,Sunrisers Hyderabad,A Nortje,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
1254096,34,Mumbai Indians,SP Narine,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
1254113,35,Royal Challengers Bangalore,DJ Bravo,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
1254097,36,Delhi Capitals,SS Iyer,Delhi Capitals,Delhi Capitals,Delhi Capitals
1254107,37,Punjab Kings,JO Holder,Punjab Kings,Punjab Kings,Punjab Kings
1254098,38,Kolkata Knight Riders,RA Jadeja,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
1254108,39,Royal Challengers Bangalore,GJ Maxwell,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1254100,40,Rajasthan Royals,JJ Roy,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
1254092,41,Delhi Capitals,SP Narine,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
1254099,42,Punjab Kings,KA Pollard,Mumbai Indians,Punjab Kings,Punjab Kings
1254103,43,Rajasthan Royals,YS Chahal,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
1254091,44,Sunrisers Hyderabad,JR Hazlewood,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1254102,45,Kolkata Knight Riders,KL Rahul,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
1254089,47,Chennai Super Kings,RD Gaikwad,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
1254112,46,Mumbai Indians,AR Patel,Delhi Capitals,Mumbai Indians,Mumbai Indians
1254090,48,Royal Challengers Bangalore,GJ Maxwell,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1254109,49,Sunrisers Hyderabad,Shubman Gill,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
1254110,50,Chennai Super Kings,AR Patel,Delhi Capitals,Chennai Super Kings,Chennai Super Kings
1254093,51,Rajasthan Royals,NM Coulter-Nile,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
1254095,52,Sunrisers Hyderabad,KS Williamson,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1254094,53,Chennai Super Kings,KL Rahul,Punjab Kings,Chennai Super Kings,Chennai Super Kings
1254106,54,Kolkata Knight Riders,Shivam Mavi,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1254088,55,Mumbai Indians,Ishan Kishan,Mumbai Indians,Mumbai Indians,Mumbai Indians
1254101,56,Delhi Capitals,KS Bharat,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
1254114,Unknown,Delhi Capitals,RD Gaikwad,Chennai Super Kings,Delhi Capitals,Delhi Capitals
1254115,Unknown,Royal Challengers Bangalore,SP Narine,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
1254116,Unknown,Delhi Capitals,VR Iyer,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
1254117,Unknown,Chennai Super Kings,F du Plessis,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1304047,1,Chennai Super Kings,UT Yadav,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
1304048,2,Mumbai Indians,Kuldeep Yadav,Delhi Capitals,Mumbai Indians,Mumbai Indians
1304049,3,Royal Challengers Bangalore,OF Smith,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
1304050,4,Lucknow Super Giants,Mohammed Shami,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants
1304051,5,Rajasthan Royals,SV Samson,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1304052,6,Kolkata Knight Riders,PWH de Silva,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
1304053,7,Chennai Super Kings,E Lewis,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings
1304054,8,Punjab Kings,UT Yadav,Kolkata Knight Riders,Punjab Kings,Punjab Kings
